노선,승차승객,하차승객,총 승객,승차-하차,월,일,요일
20,1269,1353,2622,-84,9,25,6
20,2383,2341,4724,42,9,25,6
5,4408,4222,8630,186,9,25,6
22,1057,977,2034,80,9,25,6
12,1495,1635,3130,-140,9,25,6
18,1344,1270,2614,74,9,25,6
7,5445,5010,10455,435,9,25,6
24,624,667,1291,-43,9,25,6
9,11259,11865,23124,-606,9,25,6
1,13948,13168,27116,780,9,25,6
5,4528,4453,8981,75,9,25,6
14,5521,5150,10671,371,9,25,6
10,1820,2476,4296,-656,9,25,6
14,23756,23251,47007,505,9,25,6
14,24453,24586,49039,-133,9,25,6
22,4577,4222,8799,355,9,25,6
22,3859,4045,7904,-186,9,25,6
2,10989,12405,23394,-1416,9,25,6
5,3287,2980,6267,307,9,25,6
6,9712,9388,19100,324,9,25,6
3,19015,17536,36551,1479,9,25,6
1,26948,29308,56256,-2360,9,25,6
15,1591,1525,3116,66,9,25,6
19,3393,2792,6185,601,9,25,6
8,1781,1818,3599,-37,9,25,6
21,10327,10790,21117,-463,9,25,6
7,3463,3594,7057,-131,9,25,6
3,3685,4857,8542,-1172,9,25,6
5,5215,3827,9042,1388,9,25,6
10,1228,1209,2437,19,9,25,6
1,27235,26207,53442,1028,9,25,6
9,2323,2376,4699,-53,9,25,6
23,12546,12030,24576,516,9,25,6
22,1316,1292,2608,24,9,25,6
22,1770,1715,3485,55,9,25,6
9,4070,3779,7849,291,9,25,6
18,3193,3324,6517,-131,9,25,6
3,11706,11029,22735,677,9,25,6
6,6411,6373,12784,38,9,25,6
21,10737,10634,21371,103,9,25,6
6,10649,9770,20419,879,9,25,6
25,4354,4399,8753,-45,9,25,6
5,7005,7885,14890,-880,9,25,6
1,7776,7651,15427,125,9,25,6
5,3561,3257,6818,304,9,25,6
4,7224,7067,14291,157,9,25,6
15,589,456,1045,133,9,25,6
5,7161,7076,14237,85,9,25,6
8,2293,2146,4439,147,9,25,6
20,983,1290,2273,-307,9,25,6
13,1600,1585,3185,15,9,25,6
4,6755,6857,13612,-102,9,25,6
11,891,871,1762,20,9,25,6
12,2528,2546,5074,-18,9,25,6
20,5204,4790,9994,414,9,25,6
1,29281,30090,59371,-809,9,25,6
18,10091,10521,20612,-430,9,25,6
16,10525,9803,20328,722,9,25,6
11,10091,2570,12661,7521,9,25,6
13,1428,1354,2782,74,9,25,6
3,5744,14569,20313,-8825,9,25,6
0,34571,33994,68565,577,9,25,6
20,1500,1663,3163,-163,9,25,6
20,1890,1771,3661,119,9,25,6
11,5601,8031,13632,-2430,9,25,6
1,13276,12749,26025,527,9,25,6
18,15451,15271,30722,180,9,25,6
12,5689,6277,11966,-588,9,25,6
5,7177,7539,14716,-362,9,25,6
