날짜,노선,역,승차승객,하차승객,총 승객,승차-하차,월,일,요일
2022-04-01,5호선,신금호,6166,6412,12578,-246,4,1,금
2022-04-01,5호선,행당,7821,6865,14686,956,4,1,금
2022-04-01,5호선,왕십리(성동구청),4494,5448,9942,-954,4,1,금
2022-04-01,5호선,마장,5535,5281,10816,254,4,1,금
2022-04-01,3호선,옥수,8999,9159,18158,-160,4,1,금
2022-04-01,6호선,역촌,3568,4277,7845,-709,4,1,금
2022-04-01,6호선,불광,4194,4057,8251,137,4,1,금
2022-04-01,6호선,독바위,2614,2606,5220,8,4,1,금
2022-04-01,6호선,연신내,1,0,1,1,4,1,금
2022-04-01,6호선,구산,7504,5402,12906,2102,4,1,금
2022-04-01,6호선,새절(신사),12419,11494,23913,925,4,1,금
2022-04-01,6호선,증산(명지대앞),9831,9700,19531,131,4,1,금
2022-04-01,6호선,디지털미디어시티,12810,14005,26815,-1195,4,1,금
2022-04-01,6호선,월드컵경기장(성산),4510,4641,9151,-131,4,1,금
2022-04-01,6호선,마포구청,13621,12244,25865,1377,4,1,금
2022-04-01,6호선,망원,13850,14919,28769,-1069,4,1,금
2022-04-01,6호선,합정,13615,13376,26991,239,4,1,금
2022-04-01,6호선,상수,9476,10826,20302,-1350,4,1,금
2022-04-01,6호선,광흥창(서강),8658,8415,17073,243,4,1,금
2022-04-01,6호선,대흥(서강대앞),8418,8637,17055,-219,4,1,금
2022-04-01,6호선,공덕,17441,16985,34426,456,4,1,금
2022-04-01,6호선,효창공원앞,6979,6430,13409,549,4,1,금
2022-04-01,6호선,삼각지,6343,5560,11903,783,4,1,금
2022-04-01,6호선,녹사평(용산구청),4944,4994,9938,-50,4,1,금
2022-04-01,6호선,이태원,12384,13248,25632,-864,4,1,금
2022-04-01,6호선,한강진,7621,9094,16715,-1473,4,1,금
2022-04-01,6호선,버티고개,2031,2007,4038,24,4,1,금
2022-04-01,6호선,약수,3585,3578,7163,7,4,1,금
2022-04-01,6호선,청구,3553,3845,7398,-292,4,1,금
2022-04-01,6호선,신당,8502,8536,17038,-34,4,1,금
2022-04-01,6호선,동묘앞,7636,7535,15171,101,4,1,금
2022-04-01,6호선,창신,3522,2878,6400,644,4,1,금
2022-04-01,6호선,보문,7392,6605,13997,787,4,1,금
2022-04-01,6호선,안암(고대병원앞),13225,12625,25850,600,4,1,금
2022-04-01,6호선,고려대(종암),8608,8375,16983,233,4,1,금
2022-04-01,6호선,월곡(동덕여대),11707,11303,23010,404,4,1,금
2022-04-01,6호선,상월곡(한국과학기술연구원),6132,5502,11634,630,4,1,금
2022-04-01,6호선,돌곶이,9294,8512,17806,782,4,1,금
2022-04-01,6호선,석계,12127,12487,24614,-360,4,1,금
2022-04-01,6호선,태릉입구,5563,6043,11606,-480,4,1,금
2022-04-01,6호선,화랑대(서울여대입구),11524,8863,20387,2661,4,1,금
2022-04-01,6호선,봉화산(서울의료원),8464,8043,16507,421,4,1,금
2022-04-01,7호선,장암,2153,932,3085,1221,4,1,금
2022-04-01,7호선,도봉산,9036,10671,19707,-1635,4,1,금
2022-04-01,7호선,수락산,12156,11944,24100,212,4,1,금
2022-04-01,7호선,마들,12430,11709,24139,721,4,1,금
2022-04-01,7호선,노원,19086,20226,39312,-1140,4,1,금
2022-04-01,7호선,중계,14245,12826,27071,1419,4,1,금
2022-04-01,7호선,하계,17105,15850,32955,1255,4,1,금
2022-04-01,7호선,공릉(서울과학기술대),12655,12239,24894,416,4,1,금
2022-04-01,7호선,태릉입구,8494,8219,16713,275,4,1,금
2022-04-01,7호선,먹골,9889,9555,19444,334,4,1,금
2022-04-01,7호선,중화,10596,10304,20900,292,4,1,금
2022-04-01,7호선,상봉(시외버스터미널),16289,15431,31720,858,4,1,금
2022-04-01,7호선,면목,15963,15245,31208,718,4,1,금
2022-04-01,7호선,사가정,15781,15779,31560,2,4,1,금
2022-04-01,7호선,용마산(용마폭포공원),5950,5619,11569,331,4,1,금
2022-04-01,7호선,중곡,10723,9872,20595,851,4,1,금
2022-04-01,7호선,군자(능동),14719,11722,26441,2997,4,1,금
